Account Title,First Name,Last Name,PI Rank,Sponsor Name,Program Name,FacultyName,DepartmentName,Project Start Date,Project End Date,Award Type,CoI Team Count,SemiColon Co Investigators FirstLast,Column1,Column2,Column3
A syst-OMICS approach to ensuring food safety and reducing the economic burden of salmonellosis,Siyun,Wang,Assistant Professor,Genome Canada,,Land and Food Systems,Food Science,2015-10-01 00:00:00.0000000,2019-09-30 00:00:00.0000000,Agreement,,,,,
Unrestricted Research Funds,Maja,Krzic,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2002-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Elucidating soil carbon dynamics for climate change adaptation and mitigation tradeoff analysis at a landscape scale,Sean,Smukler,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2017-04-01 00:00:00.0000000,2022-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Anthony (Tony) P.,Farrell,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2016-02-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Functional characterization of genes required for yeast fitness during fermentation,Vivien R.,Measday,Associate Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2011-04-01 00:00:00.0000000,2016-03-31 00:00:00.0000000,Grant,,,,,
Faculty research support for Dr. Castellarin's CRC grant,Simone,Castellarin,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,,2017-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,Rajadurai,Rajamahendran,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Dairy Education and Research Ctr,2007-07-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Research Overhead/Residual  - Green,Tim John,Green,Adjunct Professor,British Columbia Children's Hospital Foundation,,Land and Food Systems,Human and Animal Nutrition,2012-04-01 00:00:00.0000000,2017-03-31 00:00:00.0000000,Grant,,,,,
"Improving on-farm drainage management to reduce the impacts of climate change in Delta, BC",Sean,Smukler,Assistant Professor,Investment Agriculture Foundation of British Columbia,Growing Forward 2,Land and Food Systems,,2015-07-08 00:00:00.0000000,2017-07-31 00:00:00.0000000,Agreement,,,,,
Unrestricted Research Funds,Candice A.,Rideout,Instructor,UBC Unrestricted Research Funds,,Land and Food Systems,Human and Animal Nutrition,2015-10-19 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Maintaining research and educational leadership in the public health and urban nutrition research group,Jennifer L.,Black,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Human and Animal Nutrition,2016-09-01 00:00:00.0000000,2018-08-31 00:00:00.0000000,Grant,,,,,
Determination of the essential nutrient profile of flaxseed cooking oil,Xiaonan,Lu,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Engage Grants Program,Land and Food Systems,Food Science,2017-05-01 00:00:00.0000000,2017-10-31 00:00:00.0000000,Grant,,,,,
"Determination of the physicochemical properties of flaxseed oil extracted
using an innovative cold-pressing/filtering system",Xiaonan,Lu,Assistant Professor,"MITACS, Inc.",Accelerate,Land and Food Systems,Food Science,2017-07-01 00:00:00.0000000,2018-08-31 00:00:00.0000000,Grant,,,,,
Characterizing phytochemical content of bioactive coffee leaf materials for use in coffee tea leaf beverages,David D.,Kitts,Professor,"MITACS, Inc.",Accelerate Graduate Internship Program,Land and Food Systems,Food Science,2016-11-01 00:00:00.0000000,2017-12-31 00:00:00.0000000,Grant,,,,,
Reducing Salmonella and Campylobacter Contamination of Poultry,Xiaonan,Lu,Assistant Professor,,,Land and Food Systems,Food Science,2016-01-01 00:00:00.0000000,2017-12-31 00:00:00.0000000,,,,,,
Development of a human wildlife control accreditation program,David,Fraser,Professor,Vancouver Foundation,,Land and Food Systems,Animal Welfare,2016-04-18 00:00:00.0000000,2019-04-17 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,James (Jim) R.,Thompson,Professor,,,Land and Food Systems,Dairy Education and Research Ctr,2007-10-12 00:00:00.0000000,2099-03-31 00:00:00.0000000,,,,,,
New faculty start-up funds,Yvonne,Lamers,Assistant Professor,UBC Faculty of Land and Food Systems,Start Up Funds,Land and Food Systems,Human and Animal Nutrition,2010-07-01 00:00:00.0000000,2021-06-30 00:00:00.0000000,Grant,,,,,
UBC Unrestricted Research Funds,Sean,Smukler,Assistant Professor,UBC Overhead Recovery,,Land and Food Systems,,2012-01-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
A Syst-OMICS Approach to Ensuring Food Safety and Reducing the Economic Burden of Salmonellosis,Siyun,Wang,Assistant Professor,Genome British Columbia,,Land and Food Systems,Food Science,2015-10-01 00:00:00.0000000,2019-09-30 00:00:00.0000000,Agreement,,,,,
Unrestricted Research Funds,Ronaldo,Cerri,Associate Professor,UBC Overhead Recovery,,Land and Food Systems,Dairy Education and Research Ctr,2010-09-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Structure function and food related proteins,Rickey Y.,Yada,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2017-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Characterizing microflora composition during the spontaneous fermentation of cassava flour,Siyun,Wang,Assistant Professor,"MITACS, Inc.",Accelerate Graduate Internship Program,Land and Food Systems,Food Science,2017-01-01 00:00:00.0000000,2017-10-31 00:00:00.0000000,Grant,,,,,
"New approaches to welfare assessment in dairy calves: effects of social housing on cognition, cognitive bias and anticipatory behaviour",Dan M.,Weary,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2011-04-01 00:00:00.0000000,2016-03-31 00:00:00.0000000,Grant,,,,,
Student support stipends,Siyun,Wang,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,,2017-04-01 00:00:00.0000000,2027-03-31 00:00:00.0000000,Grant,,,,,
Start up grant,Barbara,Stefanska,Assistant Professor,UBC VP Academic,,Land and Food Systems,Human and Animal Nutrition,2017-07-01 00:00:00.0000000,2020-06-30 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,Tim John,Green,Adjunct Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Human and Animal Nutrition,2008-01-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
CFI Infrastructure Operating Fund,Keith L.,Adams,Associate Professor,Canada Foundation for Innovation,Infrastructure Operating Fund,Land and Food Systems,,2006-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Eunice C.Y.,Li-Chan,Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Food Science,2015-09-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Critical control points of farm animal welfare along transport continuum I management of cull dairy cows in BC,David,Fraser,Professor,British Columbia Ministry of Agriculture and Lands,,Land and Food Systems,Animal Welfare,2017-02-16 00:00:00.0000000,2018-03-31 00:00:00.0000000,Agreement,,,,,
NSERC Industrial Research Chair in Dairy Cattle Welfare,Marina Andrea G.,von Keyserlingk,Professor,Alberta Milk,,Land and Food Systems,Animal Welfare,2014-07-01 00:00:00.0000000,2019-06-30 00:00:00.0000000,Grant,,,,,
Genetic Enhancement of a Novel Organism to Produce Commercially Important Chemicals from Xylose,Hennie J. J.,Van Vuuren,Professor,Creatus Biosciences Inc. ,,Land and Food Systems,Wine Research Centre,2014-04-01 00:00:00.0000000,2017-06-30 00:00:00.0000000,Contract,,,,,
Student support stipends,David D.,Kitts,Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,,2017-04-01 00:00:00.0000000,2027-03-31 00:00:00.0000000,Grant,,,,,
NSERC/SPCA-BCVMA-Animal Industries Senior Industrial Research Chair in Animal Welfare (research),David,Fraser,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Industrial Research Chairs - Regular,Land and Food Systems,Animal Welfare,2003-07-01 00:00:00.0000000,2009-01-31 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,Kevin,Allen,Assistant Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Food Science,2009-12-03 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Deficit irrigation and crop size adjustment strategies for improving the concentration of aromatic compounds in white grapes in British Columbia climates,Simone,Castellarin,Assistant Professor,"MITACS, Inc.",Accelerate Graduate Internship Program,Land and Food Systems,Wine Research Centre,2016-06-01 00:00:00.0000000,2017-07-31 00:00:00.0000000,Grant,,,,,
"Investigation of quality, safety and risks of irrigation water for use in horticultural production in the Lower Mainland of BC",Siyun,Wang,Assistant Professor,British Columbia Ministry of Agriculture and Lands,,Land and Food Systems,Food Science,2014-09-15 00:00:00.0000000,2017-08-31 00:00:00.0000000,Agreement,,,,,
Unrestricted research funds,Siyun,Wang,Assistant Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Food Science,2015-09-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Eduardo,Jovel,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Agroecology,2015-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
FAIP Project: Adapting BC horticulture to climate change and through protected agriculture research and demonstration,T. Andrew,Black,Professor,UBC Centre for Sustainable Food Systems at UBC Farm,,Land and Food Systems,Biometeorology & Soil Science,2016-04-01 00:00:00.0000000,2018-02-15 00:00:00.0000000,Grant,,,,,
FAIP Project: Adapting BC horticulture to climate change and through protected agriculture research and demonstration,T. Andrew,Black,Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Biometeorology & Soil Science,2017-04-01 00:00:00.0000000,2018-02-15 00:00:00.0000000,Grant,,,,,
Ecophysiology of agricultural and rangeland weeds,Mahesh K.,Upadhyaya,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Agroecology,2003-04-01 00:00:00.0000000,2008-03-31 00:00:00.0000000,Grant,,,,,
"Innovative feeding and best management practices for the very young dairy calf to improve calf performance, welfare, and future productivity",Jeff,Rushen,Adjunct Professor,Dairy Farmers of Canada,AgriInnovation Program,Land and Food Systems,Agroecology,2014-01-01 00:00:00.0000000,2017-12-31 00:00:00.0000000,Agreement,,,,,
Unrestricted research funds,Murray B.,Isman,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Agroecology,2016-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
A return to simple and historically successful micronutrient interventions: Thiamin-fortified fish sauce combats ‘hidden hunger’ in rural Cambodia,Tim John,Green,Adjunct Professor,Canadian Institutes of Health Research (CIHR),Travel Awards - Institute Community Support,Land and Food Systems,Human and Animal Nutrition,2016-04-01 00:00:00.0000000,2017-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Juli,Carrillo,Assistant Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2016-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,James A.,Vercammen,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Food and Resource Economics,2007-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Development of humane wildlife control accreditation program,David,Fraser,Professor,UBC Peter Wall Institute for Advanced Studies ,Wall Solutions Initiative,Land and Food Systems,Animal Welfare,2014-11-01 00:00:00.0000000,2017-10-31 00:00:00.0000000,Grant,,,,,
Ecophysiology of weedy species,Mahesh K.,Upadhyaya,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Agroecology,2008-04-01 00:00:00.0000000,2009-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Hannah,Wittman,Associate Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Human and Animal Nutrition,2015-04-01 00:00:00.0000000,2018-06-30 00:00:00.0000000,Grant,,,,,
Examining school day dietary practices: An analysis of national dietary data from the 2004 and 2015 Canadian Community Health Surveys,Jennifer L.,Black,Assistant Professor,Canadian Institutes of Health Research (CIHR),Operating Grant: Canadian Community Health Survey-Nutrition Analysis,Land and Food Systems,,2017-01-01 00:00:00.0000000,2017-12-31 00:00:00.0000000,Grant,,,,,
Moving towards a more socially sustainable dairy system: public attitudes to dairy system in Brazil ,Marina Andrea G.,von Keyserlingk,Professor,"MITACS, Inc.",Globalink Research Award,Land and Food Systems,Animal Welfare,2017-04-25 00:00:00.0000000,2017-10-28 00:00:00.0000000,Grant,,,,,
Evaluation of the Impact of Activity Detected by Automated Monitoring System on the Ovulation Time and Endometrial Gene Expression of Holstein Heifers,Ronaldo,Cerri,Associate Professor,BC Dairy Association,Dairy Industry Research and Education Committee (DIREC),Land and Food Systems,Dairy Education and Research Ctr,2017-03-01 00:00:00.0000000,2018-02-28 00:00:00.0000000,Grant,,,,,
Efficiency and Safety of Using Dried Black Soldier Fly Larvae (Hermetia illucens) in Laying Hen Feed in Canada,Kimberly M.,Cheng,Professor Emeritus/a,Canadian Egg Marketing Board,,Land and Food Systems,Avian Research Centre,2016-10-11 00:00:00.0000000,2017-12-31 00:00:00.0000000,Agreement,,,,,
Student support stipends,Xiaonan,Lu,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,,2017-04-01 00:00:00.0000000,2027-03-31 00:00:00.0000000,Grant,,,,,
How do cattle cope with social competition?,Jeff,Rushen,Adjunct Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),UBC/NSERC General Research Fund,Land and Food Systems,,2013-04-01 00:00:00.0000000,2015-03-31 00:00:00.0000000,Grant,,,,,
How do cattle cope with social competition?,Jeff,Rushen,Adjunct Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2007-04-01 00:00:00.0000000,2012-03-31 00:00:00.0000000,Grant,,,,,
Ecological and evolutionary constraints of plant tolerance to herbivory,Juli,Carrillo,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2017-04-01 00:00:00.0000000,2022-03-31 00:00:00.0000000,Grant,,,,,
Genetic Enhancement of a Novel Organism to Produce Commercially Important Chemicals,Hennie J. J.,Van Vuuren,Professor,Creatus Biosciences Inc. ,,Land and Food Systems,Wine Research Centre,2017-05-02 00:00:00.0000000,2017-11-02 00:00:00.0000000,Contract,,,,,
Identification of the key regulatory elements of fruit ripening in grapevine (vitis vinifera L.),Simone,Castellarin,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Wine Research Centre,2015-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,David D.,Kitts,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2007-01-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
"Molecular and Physiological Regulation of Fruit Ripening and Compostion in
Grapevine",Simone,Castellarin,Assistant Professor,Canada Foundation for Innovation,John R. Evans Leaders Fund - Partnerships,Land and Food Systems,Wine Research Centre,2016-04-01 00:00:00.0000000,2017-07-31 00:00:00.0000000,Grant,,,,,
Start-up funds,Anubhav,Pratap Singh,Assistant Professor,UBC Faculty of Land and Food Systems,Start Up Funds,Land and Food Systems,Human and Animal Nutrition,2017-07-01 00:00:00.0000000,2022-06-30 00:00:00.0000000,Grant,,,,,
Use of probiotics to reduce metritis and modulate uterine inflammation,Ronaldo,Cerri,Associate Professor,British Columbia Dairy Education & Research Association,,Land and Food Systems,Dairy Education and Research Ctr,2016-07-01 00:00:00.0000000,2017-06-30 00:00:00.0000000,Grant,,,,,
"Inflammation, stress and the conceptus-endometrium cross communication in dairy cows",Ronaldo,Cerri,Associate Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Dairy Education and Research Ctr,2013-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,Grant,,,,,
Push-pull system evaluation for SWD crop protection,Juli,Carrillo,Assistant Professor,British Columbia Blueberry Council,,Land and Food Systems,,2017-04-15 00:00:00.0000000,2018-04-14 00:00:00.0000000,Grant,,,,,
Industry-academic partnership seed workshop for BC agri-food sector,Rickey Y.,Yada,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Connect,Land and Food Systems,,2017-03-31 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Conservation genetics of the Western Canadian barn owl population in support of Species at Risk Act and assessments of multiple stress factors,Kimberly M.,Cheng,Professor Emeritus/a,Environment and Climate Change Canada,,Land and Food Systems,Avian Research Centre,2013-09-23 00:00:00.0000000,2017-12-31 00:00:00.0000000,Agreement,,,,,
Assessing the welfare of growing dairy calves,Jeff,Rushen,Adjunct Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2013-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Do cows suffer from lower gut inflammation during the transition period,Doug,Veira,Adjunct Professor,BC Dairy Association,Dairy Industry Research and Education Committee (DIREC),Land and Food Systems,,2017-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Investigation of heavy metal bioavailability and bioaccesibility in SierraSil® mineral complex and its impacts on inflammation and bioavailability of other medications and natural health products,David D.,Kitts,Professor,"MITACS, Inc.",Accelerate Graduate Internship Program,Land and Food Systems,Food Science,2017-03-01 00:00:00.0000000,2019-04-30 00:00:00.0000000,Grant,,,,,
Characterization and intervention strategies of campylobacter jejuni biofilm in a microfluidic 'lab-on-a-chip' system,Xiaonan,Lu,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Food Science,2014-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,Grant,,,,,
Characterization and intervention strategies of campylobacter jejuni biofilm in a microfluidic 'lab-on-a-chip' system,Xiaonan,Lu,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Food Science,2014-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,Grant,,,,,
Implementation of British Columbia's school nutrition guidelines in Vancouver public schools,Gwenneth E.,Chapman,Affiliate Professor,Canadian Institutes of Health Research (CIHR),CIHR Doctoral Research Award,Land and Food Systems,Human and Animal Nutrition,2015-05-01 00:00:00.0000000,2018-04-30 00:00:00.0000000,Grant,,,,,
CFI Infrastructure Operating Fund,Yvonne,Lamers,Assistant Professor,Canada Foundation for Innovation,Infrastructure Operating Fund,Land and Food Systems,Human and Animal Nutrition,2012-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Comparative and integrative cardiorespiratory physiology,Anthony (Tony) P.,Farrell,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2005-04-01 00:00:00.0000000,2010-03-31 00:00:00.0000000,Grant,,,,,
Understanding individual variability in behaviours associated with illness in animals,Marina Andrea G.,von Keyserlingk,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2015-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
UBC unrestricted research funds,Xiaonan,Lu,Assistant Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Food Science,2015-07-22 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
CFI Infrastructure Operating Fund,Xiaonan,Lu,Assistant Professor,Canada Foundation for Innovation,Infrastructure Operating Fund,Land and Food Systems,Food Science,2016-04-01 00:00:00.0000000,2022-03-31 00:00:00.0000000,Grant,,,,,
Single cell-level platform for detection and characterization of foodborne pathogens,Xiaonan,Lu,Assistant Professor,Canada Foundation for Innovation,John R. Evans Leaders Fund,Land and Food Systems,Food Science,2015-04-01 00:00:00.0000000,2016-10-31 00:00:00.0000000,Grant,,,,,
Identifying putative bioactive properties of maillard reaction products with definable health benefits,David D.,Kitts,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Food Science,2011-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,Grant,,,,,
The science of animal suffering,Dan M.,Weary,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2016-04-01 00:00:00.0000000,2021-03-31 00:00:00.0000000,Grant,,,,,
Interactive maps of ecosystem services as decision-support tools,Sean,Smukler,Assistant Professor,UBC Faculty of Graduate and Postdoctoral Studies,UBC Public Scholars Initiative Award,Land and Food Systems,,2016-04-25 00:00:00.0000000,2017-08-24 00:00:00.0000000,Grant,,,,,
UBC unrestricted research funds,Vivien R.,Measday,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2017-01-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Reducing Salmonella and Camplyobacter contamination of poultry,Xiaonan,Lu,Assistant Professor,Investment Agriculture Foundation of British Columbia,Growing Forward 2,Land and Food Systems,Food Science,2016-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000,Agreement,,,,,
Research support,Murray B.,Isman,Professor,UBC VP Academic,,Land and Food Systems,,2005-07-01 00:00:00.0000000,2017-06-30 00:00:00.0000000,Grant,,,,,
VPA startup,Hannah,Wittman,Associate Professor,UBC Faculty of Land and Food Systems,Start Up Funds,Land and Food Systems,Human and Animal Nutrition,2012-07-01 00:00:00.0000000,2020-06-30 00:00:00.0000000,Grant,,,,,
Characterizing microorganisms important to Canadian food industry,Siyun,Wang,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Food Science,2014-12-15 00:00:00.0000000,2017-12-31 00:00:00.0000000,Grant,,,,,
Characterizing bacterial flora composition in cheese making environment and their impact on cheese products,Siyun,Wang,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Food Science,2014-09-01 00:00:00.0000000,2021-08-31 00:00:00.0000000,Grant,,,,,
Carbon sequestration and greenhouse gas emissions in forests and wetlands in Western Canada,T. Andrew,Black,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Biometeorology & Soil Science,2017-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
"The impact of Canada's national carbon tax on household energy choices, expenditures, and emissions - nationwide, across regions and income groups",Sumeet,Gulati,Associate Professor,UBC Humanities and Social Science (HSS) Research Fund,VPRO HSS Research Grants for Non-Affiliated SSHRC Faculty,Land and Food Systems,Food and Resource Economics,2017-07-26 00:00:00.0000000,2018-07-25 00:00:00.0000000,Grant,,,,,
Assessing Sources of Mercury to Western Canadian Wildlife,Kimberly M.,Cheng,Professor Emeritus/a,Environment and Climate Change Canada,,Land and Food Systems,Avian Research Centre,2015-09-25 00:00:00.0000000,2018-03-31 00:00:00.0000000,Agreement,,,,,
Intensity of Estrus Expression Measured by Activity Monitors Affecting the Decision-Making fir Artificial Insemination of Lactating Dairy Cows,Ronaldo,Cerri,Associate Professor,BC Dairy Association,Dairy Industry Research and Education Committee (DIREC),Land and Food Systems,Dairy Education and Research Ctr,2017-03-01 00:00:00.0000000,2018-02-28 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,George E.,Kennedy,Associate Professor Emeritus/a,UBC Unrestricted Research Funds,,Land and Food Systems,Food and Resource Economics,2002-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Genetics of yeast fermentation stress response using a functional genomics approach,Vivien R.,Measday,Associate Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2006-04-01 00:00:00.0000000,2011-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Andrew,Riseman,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Agroecology,2016-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Jeff,Rushen,Adjunct Professor,UBC Overhead Recovery,,Land and Food Systems,Agroecology,2015-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Faculty research support for CRC - Dr. Anthony Farrell,Anthony (Tony) P.,Farrell,Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,,2017-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Behavioural strategies in dairy cattle coping with illness,Marina Andrea G.,von Keyserlingk,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2005-04-01 00:00:00.0000000,2010-03-31 00:00:00.0000000,Grant,,,,,
Develop and design database for research community in Agri-industry,Rickey Y.,Yada,Professor,BC Ministry of Agriculture,,Land and Food Systems,,2017-07-05 00:00:00.0000000,2018-03-20 00:00:00.0000000,Agreement,,,,,
